Dataset,Missingness_Type,Missingness_Rate,Fixing_Method,Sum_of_Absolute_Differences
boiler,MCAR,50p,mtfsd2all4,2831700.6225298764
boiler,MCAR,50p,specsd2all4,5574990.792430023
boiler,MCAR,50p,gafsd2all4,5582886.9299999885
boiler,MCAR,5p,interpolateindex,1064.6130000000244
boiler,MCAR,5p,interpolatelinear,1064.6130000000244
boiler,MCAR,5p,interpolateakima,1125.3235253816606
boiler,MCAR,5p,interpolatepchip,1156.8276260764897
boiler,MCAR,5p,interpolatepolynomial,1309.2134411732945
boiler,MCAR,5p,interpolatequadratic,1309.2134411732945
boiler,MCAR,5p,interpolatecubic,1356.5792274382775
boiler,MCAR,5p,interpolatenearest,2034.250000000006
boiler,MCAR,5p,imputebfill,2106.6399999999935
boiler,MCAR,5p,imputeffill,2113.4500000000094
boiler,MCAR,5p,imputemedian,150256.85999999996
boiler,MCAR,5p,imputemean,150427.3180672832
boiler,MCAR,5p,imputemode,152367.60999999987
boiler,MCAR,5p,rpsd2all4,401363.7090396299
boiler,MCAR,5p,mtfsd2all4,522971.50678004365
boiler,MCAR,5p,gafsd2all4,556013.2894648057
boiler,MCAR,5p,specsd2all4,769649.1972247052
boiler,MNAR,20p,interpolateindex,4315.45218614729
boiler,MNAR,20p,interpolatelinear,4315.45218614729
boiler,MNAR,20p,interpolateakima,4605.722884427761
boiler,MNAR,20p,interpolatepchip,4762.066922556472
boiler,MNAR,20p,interpolatepolynomial,5486.277160867532
boiler,MNAR,20p,interpolatequadratic,5486.277160867532
boiler,MNAR,20p,interpolatecubic,5665.313310403257
boiler,MNAR,20p,interpolatenearest,8562.549999999983
boiler,MNAR,20p,imputeffill,10280.329999999998
boiler,MNAR,20p,imputebfill,10293.759999999966
boiler,MNAR,20p,imputemedian,592577.0200000001
boiler,MNAR,20p,imputemean,594130.3207087049
boiler,MNAR,20p,imputemode,603663.6199999994
boiler,MNAR,20p,rpsd2all4,1636231.3334064116
boiler,MNAR,20p,mtfsd2all4,2104572.6871909644
boiler,MNAR,20p,gafsd2all4,2197813.4292132286
boiler,MNAR,20p,specsd2all4,3102963.548738699
boiler,MNAR,2p,interpolateindex,423.6850000000163
boiler,MNAR,2p,interpolatelinear,423.6850000000163
boiler,MNAR,2p,interpolateakima,448.98689078808127
boiler,MNAR,2p,interpolatepchip,462.48961739775643
boiler,MNAR,2p,interpolatepolynomial,520.9497388090244
boiler,MNAR,2p,interpolatequadratic,520.9497388090244
boiler,MNAR,2p,interpolatecubic,540.4865744378621
boiler,MNAR,2p,interpolatenearest,823.1600000000005
boiler,MNAR,2p,imputeffill,837.8100000000001
boiler,MNAR,2p,imputebfill,838.7500000000065
boiler,MNAR,2p,imputemedian,59540.949999999975
boiler,MNAR,2p,imputemean,59681.85446724068
boiler,MNAR,2p,imputemode,60658.59999999995
boiler,MNAR,2p,rpsd2all4,165148.0439016324
boiler,MNAR,2p,mtfsd2all4,209773.1430449273
boiler,MNAR,2p,gafsd2all4,220452.40734276833
boiler,MNAR,2p,specsd2all4,310945.3579331934
boiler,MNAR,50p,interpolateindex,11760.043047157093
boiler,MNAR,50p,interpolatelinear,11760.043047157093
boiler,MNAR,50p,interpolateakima,12391.828474425552
boiler,MNAR,50p,interpolatepchip,13038.781457558836
boiler,MNAR,50p,interpolatepolynomial,15473.970062556376
boiler,MNAR,50p,interpolatequadratic,15473.970062556376
boiler,MNAR,50p,interpolatecubic,16017.608620157718
boiler,MNAR,50p,interpolatenearest,30652.879999999983
boiler,MNAR,50p,imputebfill,47199.12999999989
boiler,MNAR,50p,imputeffill,47291.96
boiler,MNAR,50p,imputemedian,1493510.0699999998
boiler,MNAR,50p,imputemean,1496771.0450644738
boiler,MNAR,50p,imputemode,1528665.5999999994
boiler,MNAR,50p,mtfsd2all4,2763927.1351060453
boiler,MNAR,50p,rpsd2all4,3571660.555040476
boiler,MNAR,50p,gafsd2all4,5544905.903715097
boiler,MNAR,50p,specsd2all4,7972684.723141193
boiler,MNAR,5p,interpolateindex,1058.7103333333716
boiler,MNAR,5p,interpolatelinear,1058.7103333333716
boiler,MNAR,5p,interpolateakima,1122.1534409219573
boiler,MNAR,5p,interpolatepchip,1151.8380744337092
boiler,MNAR,5p,interpolatepolynomial,1305.9040191929096
boiler,MNAR,5p,interpolatequadratic,1305.9040191929096
boiler,MNAR,5p,interpolatecubic,1353.1156529845166
boiler,MNAR,5p,interpolatenearest,2040.1200000000026
boiler,MNAR,5p,imputebfill,2147.269999999976
boiler,MNAR,5p,imputeffill,2148.2600000000034
boiler,MNAR,5p,imputemedian,147224.89999999994
boiler,MNAR,5p,imputemean,147573.9804861644
boiler,MNAR,5p,imputemode,149984.56999999986
boiler,MNAR,5p,rpsd2all4,412533.82544039056
boiler,MNAR,5p,mtfsd2all4,528278.3060713732
boiler,MNAR,5p,gafsd2all4,550440.3662832136
boiler,MNAR,5p,specsd2all4,776722.356314599
pump,MAR,20p,interpolateindex,4009402.358266175
pump,MAR,20p,interpolatelinear,4009402.358266175
pump,MAR,20p,interpolatepchip,4027193.607455173
pump,MAR,20p,interpolateakima,4106018.767354127
pump,MAR,20p,interpolatenearest,4604910.442490114
pump,MAR,20p,interpolatepolynomial,4924563.505337946
pump,MAR,20p,interpolatequadratic,4924563.505337946
pump,MAR,20p,imputeffill,4977608.197794062
pump,MAR,20p,imputebfill,5017445.584596213
pump,MAR,20p,interpolatecubic,5109291.122200318
pump,MAR,20p,specsd2all4,152130047.39622447
pump,MAR,20p,imputemean,190366113.9954491
pump,MAR,20p,mtfsd2all4,190536553.12365642
pump,MAR,20p,imputemedian,205509773.81990552
pump,MAR,20p,imputemode,208726408.4066055
pump,MAR,20p,rpsd2all4,293941635.27611214
pump,MAR,20p,gafsd2all4,544635706.348977
pump,MAR,2p,interpolateindex,339236.0573678867
pump,MAR,2p,interpolatelinear,339236.0573678867
pump,MAR,2p,interpolatepchip,343140.08845058753
pump,MAR,2p,interpolateakima,350352.9710744967
pump,MAR,2p,interpolatepolynomial,401288.7607138836
pump,MAR,2p,interpolatequadratic,401288.7607138836
pump,MAR,2p,imputebfill,406425.7362140156
pump,MAR,2p,interpolatenearest,411848.3948130703
pump,MAR,2p,interpolatecubic,416015.13752950943
pump,MAR,2p,imputeffill,417315.3836030703
pump,MAR,2p,specsd2all4,15943250.316585084
pump,MAR,2p,imputemean,20134701.837853312
pump,MAR,2p,imputemedian,22624688.45325494
pump,MAR,2p,imputemode,23455542.01945494
pump,MAR,2p,mtfsd2all4,26774588.987887844
pump,MAR,2p,rpsd2all4,36681397.312075466
pump,MAR,2p,gafsd2all4,57187356.47558764
pump,MAR,50p,interpolatepchip,22457310.93320629
pump,MAR,50p,interpolateindex,23273469.832046136
pump,MAR,50p,interpolatelinear,23273469.832046136
pump,MAR,50p,interpolateakima,23459656.113275543
pump,MAR,50p,interpolatenearest,24799541.68226902
pump,MAR,50p,imputebfill,27461090.323951934
pump,MAR,50p,imputeffill,28357403.683967926
pump,MAR,50p,interpolatepolynomial,49825732.59479605
pump,MAR,50p,interpolatequadratic,49825732.59479605
pump,MAR,50p,interpolatecubic,55236904.33422178
pump,MAR,50p,imputemean,375647922.1337229
pump,MAR,50p,imputemedian,383883295.89907
pump,MAR,50p,mtfsd2all4,384988071.57662517
pump,MAR,50p,imputemode,386582965.58536994
pump,MAR,50p,specsd2all4,430953301.17444426
pump,MAR,50p,rpsd2all4,486668653.35444874
pump,MAR,50p,gafsd2all4,1130831221.12237
pump,MAR,5p,interpolateindex,851855.8165034995
pump,MAR,5p,interpolatelinear,851855.8165034995
pump,MAR,5p,interpolatepchip,861099.8407594269
pump,MAR,5p,interpolateakima,877739.8053659622
pump,MAR,5p,interpolatenearest,1018064.5891263593
pump,MAR,5p,interpolatepolynomial,1023456.2605147643
pump,MAR,5p,interpolatequadratic,1023456.2605147643
pump,MAR,5p,imputeffill,1036963.0859763593
pump,MAR,5p,imputebfill,1041059.7168312969
pump,MAR,5p,interpolatecubic,1062010.1298872419
pump,MAR,5p,specsd2all4,39167142.63449458
pump,MAR,5p,imputemean,50067134.48370166
pump,MAR,5p,imputemedian,56073658.016946696
pump,MAR,5p,imputemode,58095896.576046705
pump,MAR,5p,mtfsd2all4,65865574.36161967
pump,MAR,5p,rpsd2all4,90970517.07744738
pump,MAR,5p,gafsd2all4,142203672.67393258
pump,MCAR,20p,interpolateindex,3856588.165882439
pump,MCAR,20p,interpolatelinear,3856588.165882439
pump,MCAR,20p,interpolatepchip,3954599.8136050133
pump,MCAR,20p,interpolateakima,4038734.180317254
pump,MCAR,20p,interpolatenearest,4522379.665844182
pump,MCAR,20p,imputeffill,4637169.835985929
pump,MCAR,20p,imputebfill,4652391.475646096
pump,MCAR,20p,interpolatepolynomial,4752275.614631224
pump,MCAR,20p,interpolatequadratic,4752275.614631224
pump,MCAR,20p,interpolatecubic,4909459.794373442
pump,MCAR,20p,imputemedian,94691027.44820389
pump,MCAR,20p,imputemean,101821644.83690709
pump,MCAR,20p,specsd2all4,116815593.48953028
pump,MCAR,20p,mtfsd2all4,176742004.79794666
pump,MCAR,20p,imputemode,267013138.4403039
pump,MCAR,20p,rpsd2all4,282425545.94946384
pump,MCAR,20p,gafsd2all4,435942043.0893943
pump,MCAR,2p,interpolateindex,377985.6452900022
pump,MCAR,2p,interpolatelinear,377985.6452900022
pump,MCAR,2p,interpolatepchip,386439.93695736054
pump,MCAR,2p,interpolateakima,393202.5430077865
pump,MCAR,2p,imputebfill,444997.44048697053
pump,MCAR,2p,interpolatepolynomial,448417.55909523246
pump,MCAR,2p,interpolatequadratic,448417.55909523246
pump,MCAR,2p,interpolatenearest,452913.0792763672
pump,MCAR,2p,imputeffill,453955.4852863672
pump,MCAR,2p,interpolatecubic,464589.7432454
pump,MCAR,2p,imputemedian,9452628.345642596
pump,MCAR,2p,imputemode,9633506.553042598
pump,MCAR,2p,imputemean,10187205.048324015
pump,MCAR,2p,specsd2all4,11804574.497468138
pump,MCAR,2p,mtfsd2all4,17762223.83424217
pump,MCAR,2p,rpsd2all4,28441302.546477944
pump,MCAR,2p,gafsd2all4,43572366.61996229
pump,MCAR,50p,interpolateindex,10243314.704511302
pump,MCAR,50p,interpolatelinear,10243314.704511302
pump,MCAR,50p,interpolatepchip,10506899.981443709
pump,MCAR,50p,interpolateakima,10784615.704347659
pump,MCAR,50p,interpolatenearest,11736270.855844812
pump,MCAR,50p,imputeffill,12678240.028783256
pump,MCAR,50p,imputebfill,12715772.353333006
pump,MCAR,50p,interpolatepolynomial,13310421.92531687
pump,MCAR,50p,interpolatequadratic,13310421.92531687
pump,MCAR,50p,interpolatecubic,13758796.784553964
pump,MCAR,50p,imputemedian,236391442.43996897
pump,MCAR,50p,imputemean,254403664.14796776
pump,MCAR,50p,specsd2all4,296531731.2486322
pump,MCAR,50p,rpsd2all4,417414645.994347
pump,MCAR,50p,imputemode,421873445.8794689
pump,MCAR,50p,mtfsd2all4,445710949.55020624
pump,MCAR,50p,gafsd2all4,1089869051.8384688
pump,MCAR,5p,interpolateindex,945703.0940134649
pump,MCAR,5p,interpolatelinear,945703.0940134649
pump,MCAR,5p,interpolatepchip,967115.2870917621
pump,MCAR,5p,interpolateakima,985104.2691710928
pump,MCAR,5p,interpolatenearest,1124593.763467219
pump,MCAR,5p,imputeffill,1132673.6583887816
pump,MCAR,5p,interpolatepolynomial,1134180.4437747702
pump,MCAR,5p,interpolatequadratic,1134180.4437747702
pump,MCAR,5p,imputebfill,1134224.3201248674
pump,MCAR,5p,interpolatecubic,1175000.6250101815
pump,MCAR,5p,imputemedian,23755636.606578544
pump,MCAR,5p,imputemean,25550623.62327223
pump,MCAR,5p,specsd2all4,29122201.007128704
pump,MCAR,5p,imputemode,41593153.94707854
pump,MCAR,5p,mtfsd2all4,44331632.01219152
pump,MCAR,5p,rpsd2all4,71383232.84170991
pump,MCAR,5p,gafsd2all4,109058455.25189543
pump,MNAR,20p,interpolateindex,3927022.1033562217
pump,MNAR,20p,interpolatelinear,3927022.1033562217
pump,MNAR,20p,interpolatepchip,4025943.9926939528
pump,MNAR,20p,interpolateakima,4106018.3411955903
pump,MNAR,20p,interpolatenearest,4617048.988784187
pump,MNAR,20p,imputeffill,4805340.564588846
pump,MNAR,20p,imputebfill,4812480.661642379
pump,MNAR,20p,interpolatepolynomial,4845393.720114526
pump,MNAR,20p,interpolatequadratic,4845393.720114526
pump,MNAR,20p,interpolatecubic,5003912.493596294
pump,MNAR,20p,imputemedian,85644786.23284495
pump,MNAR,20p,imputemean,90574123.19214106
pump,MNAR,20p,specsd2all4,117936260.81630309
pump,MNAR,20p,mtfsd2all4,176113544.94264936
pump,MNAR,20p,imputemode,192321007.19354495
pump,MNAR,20p,rpsd2all4,272922739.91727877
pump,MNAR,20p,gafsd2all4,435271987.90540105
pump,MNAR,2p,interpolateindex,378935.712220153
pump,MNAR,2p,interpolatelinear,378935.712220153
pump,MNAR,2p,interpolatepchip,387665.25085543527
pump,MNAR,2p,interpolateakima,394293.17615573073
pump,MNAR,2p,interpolatepolynomial,451325.7556190875
pump,MNAR,2p,interpolatequadratic,451325.7556190875
pump,MNAR,2p,interpolatenearest,452033.68749650393
pump,MNAR,2p,imputebfill,454980.31772464846
pump,MNAR,2p,imputeffill,455265.47601185547
pump,MNAR,2p,interpolatecubic,467845.0294171739
pump,MNAR,2p,imputemedian,8515351.020395352
pump,MNAR,2p,imputemean,8971626.333266135
pump,MNAR,2p,specsd2all4,12011172.86201993
pump,MNAR,2p,imputemode,12309584.10859535
pump,MNAR,2p,mtfsd2all4,18175007.365166977
pump,MNAR,2p,rpsd2all4,27598944.441009868
pump,MNAR,2p,gafsd2all4,43570141.676164396
pump,MNAR,50p,interpolateindex,10886343.756442036
pump,MNAR,50p,interpolatelinear,10886343.756442036
pump,MNAR,50p,interpolatepchip,11121178.638671596
pump,MNAR,50p,interpolateakima,11409801.557402845
pump,MNAR,50p,interpolatenearest,12517383.971656311
pump,MNAR,50p,imputebfill,14015223.821637753
pump,MNAR,50p,imputeffill,14111271.475560177
pump,MNAR,50p,interpolatepolynomial,14280655.46225481
pump,MNAR,50p,interpolatequadratic,14280655.46225481
pump,MNAR,50p,interpolatecubic,14799141.490287859
pump,MNAR,50p,imputemedian,218195955.7476113
pump,MNAR,50p,imputemode,225081678.01751134
pump,MNAR,50p,imputemean,234602281.88117725
pump,MNAR,50p,mtfsd2all4,291499035.5569922
pump,MNAR,50p,specsd2all4,368521334.3492465
pump,MNAR,50p,rpsd2all4,408142462.49569994
pump,MNAR,50p,gafsd2all4,1086711811.6875937
pump,MNAR,5p,interpolateindex,959334.9429637664
pump,MNAR,5p,interpolatelinear,959334.9429637664
pump,MNAR,5p,interpolatepchip,982204.2812694418
pump,MNAR,5p,interpolateakima,998725.5723903482
pump,MNAR,5p,interpolatepolynomial,1144335.8624446888
pump,MNAR,5p,interpolatequadratic,1144335.8624446888
pump,MNAR,5p,interpolatenearest,1149461.7041694298
pump,MNAR,5p,imputebfill,1154213.0048212148
pump,MNAR,5p,imputeffill,1163594.0899594298
pump,MNAR,5p,interpolatecubic,1184126.8620426934
pump,MNAR,5p,imputemedian,21118932.897701487
pump,MNAR,5p,imputemean,22264054.606689736
pump,MNAR,5p,imputemode,22695847.73830149
pump,MNAR,5p,specsd2all4,30054932.696345896
pump,MNAR,5p,mtfsd2all4,44775906.91142541
pump,MNAR,5p,rpsd2all4,68476072.09682241
pump,MNAR,5p,gafsd2all4,108787979.46320319
vibr,MAR,20p,imputemedian,3873.368182039067
vibr,MAR,20p,imputemean,3874.7414327804277
vibr,MAR,20p,interpolateindex,4005.124390133748
vibr,MAR,20p,interpolatelinear,4005.124390133748
vibr,MAR,20p,rpsd2all4,4051.9263067577203
vibr,MAR,20p,interpolatepchip,4087.241454799555
vibr,MAR,20p,interpolateakima,4149.483577941507
vibr,MAR,20p,interpolatenearest,4232.155300823919
vibr,MAR,20p,imputeffill,4237.706915148591
vibr,MAR,20p,imputebfill,4348.983440276238
vibr,MAR,20p,specsd2all4,4396.024525887867
vibr,MAR,20p,mtfsd2all4,4481.877195599891
vibr,MAR,20p,interpolatepolynomial,4519.1575867897245
vibr,MAR,20p,interpolatequadratic,4519.1575867897245
vibr,MAR,20p,interpolatecubic,4666.516001318484
vibr,MAR,20p,gafsd2all4,5476.137490032036
vibr,MAR,20p,imputemode,6369.137786340235
vibr,MAR,2p,imputemedian,380.86616742317256
vibr,MAR,2p,imputemean,382.11391628566867
vibr,MAR,2p,interpolatelinear,406.6885404961293
vibr,MAR,2p,interpolateindex,406.68854049612935
vibr,MAR,2p,rpsd2all4,421.2640735692803
vibr,MAR,2p,interpolatepchip,423.38929919615254
vibr,MAR,2p,imputebfill,428.329122495486
vibr,MAR,2p,interpolateakima,439.6968518147936
vibr,MAR,2p,imputeffill,444.8866723666499
vibr,MAR,2p,interpolatenearest,448.28465094537967
vibr,MAR,2p,specsd2all4,465.5822406940486
vibr,MAR,2p,interpolatepolynomial,482.3241585447855
vibr,MAR,2p,interpolatequadratic,482.3241585447855
vibr,MAR,2p,mtfsd2all4,516.505280850152
vibr,MAR,2p,interpolatecubic,530.9930296652676
vibr,MAR,2p,gafsd2all4,542.7786225936179
vibr,MAR,2p,imputemode,647.818775493424
vibr,MAR,50p,imputemean,9213.467278930266
vibr,MAR,50p,imputemedian,9222.09293030485
vibr,MAR,50p,rpsd2all4,9375.321285996264
vibr,MAR,50p,interpolateindex,9517.347013566687
vibr,MAR,50p,interpolatelinear,9517.347013566687
vibr,MAR,50p,interpolatepchip,9712.096912717609
vibr,MAR,50p,interpolateakima,9877.014567649463
vibr,MAR,50p,imputeffill,9950.71533585712
vibr,MAR,50p,imputebfill,9996.06961039717
vibr,MAR,50p,interpolatenearest,10081.856015502426
vibr,MAR,50p,mtfsd2all4,10196.610100626564
vibr,MAR,50p,specsd2all4,10400.97093615064
vibr,MAR,50p,interpolatepolynomial,11091.94604176193
vibr,MAR,50p,interpolatequadratic,11091.94604176193
vibr,MAR,50p,interpolatecubic,11352.770121781774
vibr,MAR,50p,gafsd2all4,14302.871329820733
vibr,MAR,50p,imputemode,14773.42847326631
vibr,MAR,5p,imputemean,968.1429124779243
vibr,MAR,5p,imputemedian,973.5031237431452
vibr,MAR,5p,rpsd2all4,989.8892759248396
vibr,MAR,5p,interpolateindex,1057.3320494103705
vibr,MAR,5p,interpolatelinear,1057.3320494103705
vibr,MAR,5p,interpolatepchip,1080.5229586549974
vibr,MAR,5p,interpolateakima,1096.318006415225
vibr,MAR,5p,specsd2all4,1099.84994308836
vibr,MAR,5p,mtfsd2all4,1108.5829951799633
vibr,MAR,5p,interpolatenearest,1110.1551901107748
vibr,MAR,5p,imputeffill,1113.7950248169775
vibr,MAR,5p,imputebfill,1131.0290668079163
vibr,MAR,5p,interpolatepolynomial,1211.3020681174796
vibr,MAR,5p,interpolatequadratic,1211.3020681174796
vibr,MAR,5p,interpolatecubic,1244.0368869893762
vibr,MAR,5p,gafsd2all4,1471.801004299169
vibr,MAR,5p,imputemode,1504.1213348719668
vibr,MCAR,20p,imputemean,3107.3471052943137
vibr,MCAR,20p,imputemedian,3135.7805853705886
vibr,MCAR,20p,rpsd2all4,3205.1527459004565
vibr,MCAR,20p,interpolateindex,3689.159085717526
vibr,MCAR,20p,interpolatelinear,3689.159085717526
vibr,MCAR,20p,specsd2all4,3739.380466464201
vibr,MCAR,20p,interpolatepchip,3809.875553805212
vibr,MCAR,20p,interpolateakima,3939.1422837125765
vibr,MCAR,20p,mtfsd2all4,3963.945011225929
vibr,MCAR,20p,interpolatenearest,4107.251811628546
vibr,MCAR,20p,imputebfill,4131.543233372734
vibr,MCAR,20p,imputeffill,4291.398952213886
vibr,MCAR,20p,interpolatepolynomial,4548.892554651735
vibr,MCAR,20p,interpolatequadratic,4548.892554651735
vibr,MCAR,20p,interpolatecubic,4783.740015315159
vibr,MCAR,20p,gafsd2all4,5911.437392733717
vibr,MCAR,20p,imputemode,5996.34046807201
vibr,MCAR,2p,specsd2all4,297.6847674296027
vibr,MCAR,2p,imputemean,319.82518177455876
vibr,MCAR,2p,imputemedian,321.0056347695207
vibr,MCAR,2p,rpsd2all4,364.48211033360633
vibr,MCAR,2p,interpolateindex,375.82301611012485
vibr,MCAR,2p,interpolatelinear,375.82301611012485
vibr,MCAR,2p,interpolatepchip,388.8041470082737
vibr,MCAR,2p,imputebfill,390.41959968720124
vibr,MCAR,2p,interpolateakima,392.2228150606918
vibr,MCAR,2p,interpolatepolynomial,419.54156991551014
vibr,MCAR,2p,interpolatequadratic,419.54156991551014
vibr,MCAR,2p,interpolatecubic,436.4300296756387
vibr,MCAR,2p,imputeffill,456.7335999619279
vibr,MCAR,2p,interpolatenearest,456.7335999619279
vibr,MCAR,2p,imputemode,560.0652563557346
vibr,MCAR,2p,mtfsd2all4,570.3557845850341
vibr,MCAR,2p,gafsd2all4,630.7125297248381
vibr,MCAR,50p,imputemean,7661.829763651325
vibr,MCAR,50p,imputemedian,7783.257761532979
vibr,MCAR,50p,mtfsd2all4,8545.895297066563
vibr,MCAR,50p,rpsd2all4,8852.889486952496
vibr,MCAR,50p,interpolateindex,8883.439162950779
vibr,MCAR,50p,interpolatelinear,8883.439162950779
vibr,MCAR,50p,specsd2all4,9124.067937946635
vibr,MCAR,50p,interpolatepchip,9283.558444128914
vibr,MCAR,50p,interpolateakima,9643.486695997182
vibr,MCAR,50p,imputeffill,9760.847836979623
vibr,MCAR,50p,interpolatenearest,9920.239484121881
