dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
lake3,MCAR,2p,6,interpolatepolynomial,12.51874751812798
lake1,MAR,5p,9,interpolatepchip,39.08588993764948
lake2,MNAR,50p,3,imputemode,2292.4499999999944
pump,MCAR,5p,6,rpsd2all4,7141042.124569381
boiler,MNAR,5p,9,gafsd2all4,54694.60508238037
vibr,MCAR,50p,4,imputeffill,1000.2635223958018
lake2,MNAR,5p,3,gafunet,421.4699708619378
lake3,MCAR,50p,6,rpunet,2749.2103288518756
boiler,MAR,2p,1,mtfsd2all4,19625.206542029297
vibr,MAR,20p,10,rpsd2all4,412.0809021970769
lake3,MCAR,20p,10,rpunet,1411.6248599053365
vibr,MNAR,2p,6,specsd2all4,49.07239007236707
lake2,MCAR,50p,10,interpolatecubic,785.7167724614709
vibr,MCAR,2p,9,interpolatepchip,30.719156530894928
lake2,MNAR,20p,10,interpolateindex,251.19633333333456
lake1,MAR,5p,8,interpolatelinear,32.03400000000045
vibr,MCAR,5p,7,gafunet,136.4302530628091
vibr,MAR,5p,5,interpolatepolynomial,131.6164007816542
lake3,MCAR,2p,8,imputemedian,61.54890000000006
vibr,MNAR,20p,10,mtfsd2all4,395.5254719984832
vibr,MNAR,50p,3,specsd2all4,1001.5770130406389
lake1,MNAR,2p,2,gafsd2all4,240.4520999999998
lake2,MCAR,2p,1,gafunet,144.74543132528527
pump,MNAR,2p,5,specsd2all4,1206225.5594421178
lake2,MNAR,50p,9,interpolatepolynomial,1009.2550429440319
vibr,MCAR,50p,3,gafunet,856.0622259880204
lake2,MCAR,5p,3,interpolatepchip,48.75032791714705
boiler,MAR,5p,2,mtfunet,45254.009882707054
vibr,MNAR,5p,4,interpolatecubic,91.16293376084477
lake1,MCAR,2p,10,mtfunet,166.66432164137302
lake1,MNAR,20p,10,specsd2all4,1635.3747644382431
vibr,MAR,50p,5,imputebfill,949.7956947740633
vibr,MAR,2p,8,interpolatelinear,38.869973360839126
lake1,MNAR,5p,10,interpolatenearest,34.09040000000027
vibr,MCAR,20p,10,interpolatecubic,504.83274557249933
vibr,MNAR,2p,4,imputemedian,24.518704159151916
lake3,MAR,20p,4,interpolatenearest,252.4262
vibr,MCAR,5p,10,rpunet,62.58639842024096
lake3,MNAR,5p,10,interpolatenearest,43.52190000000002
lake1,MCAR,2p,1,specunet,218.43692479656767
lake3,MNAR,5p,4,interpolatepolynomial,43.264634931178904
lake2,MNAR,20p,4,rpunet,1013.469947376612
pump,MNAR,50p,6,imputebfill,1368738.3867975448
lake2,MNAR,20p,1,gafsd2all4,3527.430000000003
pump,MNAR,20p,2,interpolatecubic,499428.2957159616
boiler,MNAR,2p,3,interpolatepolynomial,51.346535598040305
boiler,MCAR,20p,4,interpolatenearest,839.3600000000018
lake1,MCAR,5p,3,gafunet,136.58766887115257
pump,MNAR,2p,6,mtfunet,1981821.2795363995
vibr,MCAR,2p,9,interpolateindex,27.215740829644908
lake2,MCAR,20p,6,imputemedian,678.5552999999983
lake1,MCAR,20p,10,interpolatequadratic,99.43688180626361
lake1,MAR,5p,9,interpolatenearest,55.931000000000154
vibr,MAR,2p,6,imputeffill,68.46125214839074
pump,MNAR,2p,4,specunet,1151037.7793263553
lake1,MAR,50p,8,mtfsd2all4,2910.4731617310545
boiler,MNAR,5p,10,specsd2all4,77660.04544972426
boiler,MCAR,2p,7,interpolatelinear,42.05000000000041
lake1,MCAR,50p,8,interpolateindex,283.7789716849828
vibr,MCAR,20p,5,interpolatenearest,409.2394375154897
pump,MAR,20p,7,rpunet,18888262.25855029
lake3,MNAR,50p,9,interpolatecubic,671.9369891522986
vibr,MCAR,2p,5,interpolateakima,48.586266973368815
vibr,MAR,2p,1,interpolatenearest,30.119203576075115
lake2,MAR,5p,9,interpolatenearest,90.4653000000011
pump,MNAR,20p,3,interpolateakima,407071.70109295315
lake2,MCAR,5p,2,interpolatenearest,56.98239999999976
lake1,MNAR,5p,1,interpolateakima,20.259255635696775
lake3,MCAR,50p,6,specsd2all4,4534.020787821004
pump,MNAR,2p,1,interpolatelinear,39162.17838860352
lake3,MCAR,5p,7,interpolatelinear,38.114116666666774
vibr,MNAR,2p,9,imputeffill,55.99972377944542
boiler,MCAR,5p,6,specsd2all4,77328.68571721995
