dataset,fixing_method,p_value,n_original,n_method
vibr,impute_mean,0.6418113342961953,10,1200
vibr,impute_median,0.6869728024669229,10,1200
vibr,impute_mode,0.183401015911573,10,1200
vibr,interpolate_akima,0.7940701645280711,10,1200
vibr,interpolate_cubic,0.9128563315587706,10,1200
vibr,interpolate_index,0.8365581516952784,10,1200
vibr,interpolate_linear,0.8365581516952784,10,1200
vibr,interpolate_nearest,0.8264276619057297,10,1200
vibr,interpolate_pchip,0.8088835460314046,10,1200
vibr,interpolate_polynomial,0.84590894134885,10,1200
vibr,interpolate_quadratic,0.84590894134885,10,1200
vibr,mtf-unet,0.8766938047649327,10,1200
vibr,mtfsd2all4,0.580580838223448,10,1200
vibr,rp-unet,0.7155882869410757,10,1200
vibr,rpsd2all4,0.9742032864068559,10,1200
vibr,spec-unet,0.7220133584201758,10,1200
vibr,specsd2all4,0.6882904039209727,10,1200
