dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,2,3,mtfsd2all4,XGBoost,0.04192034827576298,0.22460668945311682,0.2514656660581272
boiler,MAR,2,3,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,3,rp-unet,XGBoost,0.03973496942822528,0.21290234374998818,0.24061174798365853
boiler,MAR,2,3,rpsd2all4,XGBoost,0.03807645385055732,0.204010009765625,0.23799064455983496
boiler,MAR,2,3,spec-unet,XGBoost,0.02287141130794784,0.12254589843748817,0.1383274929291078
boiler,MAR,2,3,specsd2all4,XGBoost,0.02733168617540992,0.14644116210936317,0.16420763543442335
boiler,MAR,2,4,gaf-unet,XGBoost,0.046516151582787324,0.24924047851561681,0.25786691229591174
boiler,MAR,2,4,gafsd2all4,XGBoost,0.061546222052523546,0.3297763671874918,0.3349641003428765
boiler,MAR,2,4,impute_bfill,XGBoost,0.04886436297119656,0.26181982421874184,0.26668706800730696
boiler,MAR,2,4,impute_ffill,XGBoost,0.04895787173121115,0.2623203124999918,0.26793533502775396
boiler,MAR,2,4,impute_mean,XGBoost,0.052103032846620795,0.2791721191406168,0.28543536031662897
boiler,MAR,2,4,impute_median,XGBoost,0.04771900179996105,0.25568579101561684,0.26350639479208654
boiler,MAR,2,4,impute_mode,XGBoost,0.04778522533501659,0.2560336914062418,0.27671780408915875
boiler,MAR,2,4,interpolate_akima,XGBoost,0.04820376284480711,0.25827978515624184,0.2635610171867225
boiler,MAR,2,4,interpolate_cubic,XGBoost,0.04855801115447162,0.2601779785156168,0.2659911449388483
boiler,MAR,2,4,interpolate_index,XGBoost,0.048732259162349696,0.2611118164062418,0.2658288139760761
boiler,MAR,2,4,interpolate_linear,XGBoost,0.048732259162349696,0.2611118164062418,0.2658288139760761
boiler,MAR,2,4,interpolate_nearest,XGBoost,0.04791549488447872,0.2567355957031168,0.26282183592585057
boiler,MAR,2,4,interpolate_pchip,XGBoost,0.04924263598308747,0.2638461914062418,0.26998136603992295
