dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MCAR,2,1,gaf-unet,HoltWinters,0.00562828567077345,0.03015500370316886,0.035510722524647396
boiler,MCAR,2,1,gaf-unet,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,gaf-unet,XGBoost,0.04971111580088684,0.2663547363281168,0.2746344791674586
boiler,MCAR,2,1,impute_bfill,HoltWinters,0.010144937575789804,0.05435253377391973,0.0657121490786503
boiler,MCAR,2,1,impute_bfill,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,impute_bfill,XGBoost,0.04834612026716094,0.25904272460936684,0.2651091230106468
boiler,MCAR,2,1,impute_ffill,HoltWinters,0.012455046451958447,0.06672960264876338,0.0787778351551927
boiler,MCAR,2,1,impute_ffill,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,impute_ffill,XGBoost,0.04923350842469665,0.2637973632812418,0.2692499858427581
boiler,MCAR,2,1,impute_mean,HoltWinters,0.00469937088843356,0.025182194298861305,0.03081485991385698
boiler,MCAR,2,1,impute_mean,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,impute_mean,XGBoost,0.05347955540775265,0.2865451660156168,0.29432083617150545
boiler,MCAR,2,1,impute_median,HoltWinters,0.005340616074213743,0.028618240209266333,0.03455495039743171
boiler,MCAR,2,1,impute_median,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,impute_median,XGBoost,0.05391703695057731,0.28888891601561684,0.2984260297688032
boiler,MCAR,2,1,impute_mode,HoltWinters,0.0036573245242232967,0.019597531876365794,0.02225527072085855
boiler,MCAR,2,1,impute_mode,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,impute_mode,XGBoost,0.05148082404875393,0.2758395996093668,0.2786719841738927
boiler,MCAR,2,1,interpolate_akima,HoltWinters,0.011892408512075214,0.06371514040794182,0.0754831670662625
boiler,MCAR,2,1,interpolate_akima,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,interpolate_akima,XGBoost,0.0493942134930431,0.26465795898436684,0.2706575220346992
boiler,MCAR,2,1,interpolate_cubic,HoltWinters,0.011369192737856519,0.06091187025324416,0.0724913972964936
boiler,MCAR,2,1,interpolate_cubic,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,interpolate_cubic,XGBoost,0.048127283676405536,0.2578708496093668,0.26330206072255313
boiler,MCAR,2,1,interpolate_index,HoltWinters,0.011837605823051262,0.06342150842937144,0.0752057102029448
boiler,MCAR,2,1,interpolate_index,SARIMAX,0.036209017931490055,0.19399999999998271,0.21208488866487954
boiler,MCAR,2,1,interpolate_index,XGBoost,0.048823435387113395,0.2616000976562418,0.26760718798437955
boiler,MCAR,2,1,interpolate_linear,HoltWinters,0.011837605823051262,0.06342150842937144,0.0752057102029448
