dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,2,2,interpolate_pchip,XGBoost,0.04898983468555626,0.26249121093749184,0.26777808807363074
boiler,MAR,2,2,interpolate_polynomial,HoltWinters,0.012165701506361266,0.06517937978572945,0.07705419142780773
boiler,MAR,2,2,interpolate_polynomial,XGBoost,0.0486639033018328,0.2607456054687418,0.2668054791762341
boiler,MAR,2,2,interpolate_quadratic,HoltWinters,0.012165701506361266,0.06517937978572945,0.07705419142780773
boiler,MAR,2,2,interpolate_quadratic,XGBoost,0.0486639033018328,0.2607456054687418,0.2668054791762341
boiler,MAR,2,2,mtf-unet,HoltWinters,0.013370019479240346,0.07163487972693475,0.07605740899816789
boiler,MAR,2,2,mtf-unet,XGBoost,0.03206701871408608,0.17181738281249181,0.1785783376576429
boiler,MAR,2,2,original,HoltWinters,0.012091092726891425,0.06477962339364467,0.07668835572590069
boiler,MAR,2,2,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,2,rp-unet,HoltWinters,0.013157020685219682,0.0704937630815948,0.07513544408443357
boiler,MAR,2,2,rp-unet,XGBoost,0.037723360599504145,0.202117919921875,0.24898600822250383
boiler,MAR,2,2,spec-unet,HoltWinters,0.007991866076358352,0.04281886941161019,0.04877748902310168
boiler,MAR,2,2,spec-unet,XGBoost,0.018787973284646035,0.10066259765624182,0.11081312304825068
boiler,MAR,2,3,gaf-unet,HoltWinters,0.01221979611749946,0.06547217186561057,0.07164120953608472
boiler,MAR,2,3,gaf-unet,XGBoost,0.049554579517576955,0.2655185546874918,0.2743050898726324
boiler,MAR,2,3,impute_bfill,HoltWinters,0.01159485811061423,0.062120903653863024,0.07387675897000452
boiler,MAR,2,3,impute_bfill,XGBoost,0.04876416367520599,0.2612827148437418,0.26712456639066356
boiler,MAR,2,3,impute_ffill,HoltWinters,0.011583684818234158,0.06206102381178198,0.07386074102497357
boiler,MAR,2,3,impute_ffill,XGBoost,0.04860815998239354,0.26044653320311684,0.2661858564275889
boiler,MAR,2,3,impute_mean,HoltWinters,0.008131404958847583,0.04356681025404896,0.04942647707694441
boiler,MAR,2,3,impute_mean,XGBoost,0.050052341556505675,0.2681857910156168,0.2728368615604823
boiler,MAR,2,3,impute_median,HoltWinters,0.008201355097584441,0.04394160877383228,0.049789277168081125
boiler,MAR,2,3,impute_median,XGBoost,0.047563042713125836,0.2548496093749918,0.2622625477814499
boiler,MAR,2,3,impute_mode,HoltWinters,0.008028007747399339,0.04301279016683566,0.04887707019153421
